audio,transcript
test_sample_3556_noisy,تقرره تاني بإسم كل حاجه قدمه تبق بيسمك عندك حات أرض عندك وديعه في البنك عندك أي حاجه إنت تثبتلهم بيها إن إنت تقدر ترجع
test_sample_1419_clean,الحمد لله
test_sample_2963_noisy,ل
test_sample_1154_clean,و بعدين نج معكنن
test_sample_1390_clean,كت 
test_sample_1367_clean,خفبق
test_sample_1348_clean,دأبوه هو لشال المحم شال الكفن هوالدهل لصاحب الميه
test_sample_3031_noisy,فعلا بالورقا و القلم يعني
test_sample_1455_clean,بيد بتاع عنين بأن ما شول تمام و طب عاول جبوه ومدين يت الأوانات لجمول به ف العلن يشتغل علي
test_sample_3229_noisy,حد الدنيا بق
test_sample_1016_clean,المهاوم مستازمونا
test_sample_1022_clean,لابينا نشرب كوبايتين عصير
test_sample_3834_noisy,لالحمد لله
test_sample_3800_noisy,الحجنبيه عشان أخاطر لمبهدر
test_sample_1536_clean,إنما اللي محتاج للصبر الناس اللي هنا كل محتاجين لتكوي اليقين والاستمرار إم جمعه بعد جمعه بعد جمعه
test_sample_2925_noisy,
test_sample_1035_clean,أهرح إيه ده يا عبد الرحمه كنت ماحصلتش ده هقولها يا ما ما بعدين فج اجت ليه خدها وليادي خدها وليل بق أخد إيه قالتلع أنها
test_sample_3635_noisy,مصر
test_sample_1027_clean, بس دي ولا مش هينفع أو ما عمرها
test_sample_3545_noisy,قدام الجامعه بابا بتصور و بابا عسيب الجايه جاي  ف كل حاجه
test_sample_3532_noisy,
test_sample_1349_clean,يعني هجت عن إنتو  إنتو دوقن فين إنت زعلان من هشامي جخل إنه إنه جال كده مع العلم إن هشام الجخ جل في جح
test_sample_1359_clean,إحنا إحنا إحنا عندنا مواهد أه للأسف يعني عندنا يعني حضرتك لو عدتلك الناس اللي عندنا من لصعيد مشاهير يعني مشاهير القرا
test_sample_3476_noisy,تستوي عندك بق إنت زمانكن تلصوي في المستن المستو
test_sample_1126_clean,ل
test_sample_3048_noisy,في الكوبيا و بق إيه كبري يومصابح برضو في
test_sample_3249_noisy,نس سعيدها عنوام بيكن دلوقتي عايش
test_sample_1320_clean,وبصربيهم بطلحهم دكاتره ومستشارين وبطلعهم ظبط
test_sample_3321_noisy,االنازر كهربا يعني أستاذ نش
test_sample_1008_clean,كانوا اللي معدوا الكالون بالكلام دي أه الكالون لكانوا عديكتب إنت إنت عمد تتر
test_sample_1605_clean,طب إنت فاكر نفسك مين هو إنت أحسن منت أه حسين فضل خلاص وخد بالي عندك غير طه حسين الكتير لو هنجعد نعد
test_sample_1403_clean, أنا عملت الفكره دي عشان أخدم بلدي عشان أصدر مشاكل إم عندنا في الصعيد عندنا مشاكل كبيره
test_sample_1413_clean,السلام عليكم يا عمي حسمد الله عل السلامه إن شاء الله عدويلك يا عبمن
test_sample_3260_noisy,تكلم بطريق الريس السادات لو هيعاقب اللاعيبه عل الهزيمه بتاعتها
test_sample_1042_clean,يعني كله تعرضنا مصر
test_sample_3079_noisy,إنتي عايزين تكبيا أوروبيا أنا أعملك إيه
test_sample_3752_noisy,بتيجي عليه طيب هتخط زي ما إنتي شايف كده الطبق ده فروكني للفران بتيجي عليه أو المكان اللي فيرن بتيجي تيجي تقعد في الحته اللي هي بوفيها
test_sample_3907_noisy,
test_sample_1182_clean,ولتره إنت متفرجتش غيلي وأنا بعمل عمليه
test_sample_3390_noisy,لمدرس لغه بتتعلم اللغه ببلاقش سواء كنت عاوز أتعلم اللغه البورتغالي في اللغه الإنجليزيه أو عاوز يتعلمها باللغه العربيه وبعدك مدرسه بتديك ورقه
test_sample_1685_clean,شايفين إن هذا الرجول هو دون إنه إنه إنه يتقلد هذا هذا منصر وهما بيحبوا هذا الل السيده ده أنا شفته بعين
test_sample_1474_clean,مش قدر
test_sample_3007_noisy,هكتيري إن شاء الله هنقوم بومن حمام أول يا هم فيناس لنصيده الناس بتقول  إحنا هنجيب مصياده
test_sample_3659_noisy, أعرف أطوع 
test_sample_1099_clean,بترفر في جبل ترحل يناح بريشات حزانه وسدد ديونها
test_sample_1570_clean,اسمع ولد ديك إعتبر إن مش عممك وعمل ابنصيح الأباترين الجه خرب بيوت ناس كتير
test_sample_3263_noisy,أو أنا اللي بحبك 
test_sample_3548_noisy,أنا مش عارف ي حسإي بس ده غرمان انتباطن
test_sample_1636_clean,قول ليه بق ويي أحم له   منت م عترش شغل لا تماده أ يا مومودايه تنه خمس سته يا رسل مبخفش من الحادر جان ا بنا
test_sample_2999_noisy,لو إنت عامل الأوراق بره وجوتلهم بياخدوا منك عشرين يو بصله لو هما اللي هيعملولك كل الأوراق و هيساعدوهم بياخدوا منكا خمسين وبيتولوا الملف بتاعك مين الألف للياء إنت مش بحاجه الحدد و ده شغل حكومه ده مكتب حكو كل اللي موجودين فيه فحاميين محاميين تمام فخليك قانوني وخليك مع الناس دي أفضلط
test_sample_1131_clean,قولت لأ أنا مكتلش
test_sample_3245_noisy,عملك
test_sample_3150_noisy,هو فحدي ما يا مت تعلم يا ما تعالج لأن التالب بق كباني عموما الن بيتهالي بيعشوا مح
test_sample_3396_noisy,عا
test_sample_1280_clean,لو عاد فيش خمس طبعا
test_sample_3060_noisy,ر ورعه ثوره خاي
test_sample_3378_noisy,عل الله بم نصح عمل إيه عامله كرسه من الإتنين دول يا إما تشتغل فتر من سنه سنتين تجمع فلوس تلحطاطه البنك وتيجي هنا مثلا أسطانيه تفرس عل حساب
test_sample_1285_clean,
test_sample_3702_noisy,عايز اإما بيضح حصوايا زي ما إنتو شايفين مفرتك ال ال الغيه ا إما زخدول مبياكلوش هو عمرو مين قولتلها لأ لا لا لا
test_sample_3279_noisy,ف
test_sample_2997_noisy,ده قيه مصلحه ولكن هو يعمل الأوراق دي ففي المستخبي
test_sample_3019_noisy,مشي عات كده
test_sample_1329_clean,لأنه عارف دعامل كلبير جدا من بيتو
test_sample_3404_noisy,ل
test_sample_3479_noisy,قولي إيه الحياه بق يا عم بشلدي إيه اللي تخليك حد يجيلك يكل فول من اخر الدنيا
test_sample_1516_clean,لما يتستم
test_sample_3749_noisy,هتو سكر عل الجس ازي ما انتو شايفين كده قدامكم مجمعه سكر بودر مدحون و هنقلد الجد جبس يا جماعه مش جيل جبس أبي وهنقلب بالطريقه دي
test_sample_1613_clean,أه جتلها أي لي دي بركصص
test_sample_2959_noisy,زوله النهارده وجت جسم و اليوم التاني هكتب اسم المكان اللي أنا هزوره و اليوم التالت هكتب اسم المكان اللي أنا هظوم يوم
test_sample_3197_noisy,وبقيت م عندكوش لرموز هندوسيه ندخل الصالن عل إبن ليمين قد تكون دي صاب الضيوف
